ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,AÑO,CONSUMO RESIDENCIAL,CONSUMO INDUSTRIAL,CONSUMO COMERCIAL,CONSUMO PUBLICO,CONSUMO TOTAL,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,TEMP MÁX (°C),TEMP MÍN (°C),PRECIPITACIONES (mm),VIENTO (m/s),NIVEL EMBALSES (%),POBLACIÓN,POBLACIÓN RURAL,POBLACIÓN URBANA,Hidráulica,Térmica - Gas,Térmica - Carbón,Térmica - Diésel,Solar,Eólica,Biomasa,GENERACIÓN TOTAL,LONGITUD,LATITUD,MUNICIPIO
5,Antioquia,5001,2020,64494,163686,55258,35425,318863,303577.62506827817,47795.97703649686,7563,33.77103904787255,19.293450061301147,544.4699153446486,4.0551944765399375,99.56388389342978,207975,72124.07409703503,135850.92590296495,200387,44163,53525,7063,19891,8179,9813,343021,-75.581775,6.246631,MEDELLÍN
5,Antioquia,5002,2020,64132,120997,48729,21095,254953,301564.49707609904,60417.9644215143,6741,38.350447324864106,24.339592360375853,2979.8056054085278,6.796211259561181,25.081380050684032,1021902,135957.99832272477,885944.0016772752,45757,112006,76010,37692,28218,6772,1798,308253,-75.428739,5.789315,ABEJORRAL
5,Antioquia,5004,2020,89035,86513,4832,31898,212278,195535.87619000033,25751.309001121375,6485,27.826972208347954,14.50841534825864,2405.911669087478,14.602067394804026,88.66956092407128,567647,267903.29976871575,299743.70023128425,53060,83868,90418,36059,15244,5711,6443,290803,-76.064304,6.632282,ABRIAQUÍ
8,Atlántico,8001,2020,31771,197608,77544,47762,354685,395621.5363119967,77076.14257497412,3424,37.73482983726261,19.64796230444723,570.4625301883768,4.086815214599621,45.038396420855726,1816302,861852.2217640954,954449.7782359046,96752,129673,71947,11152,14450,9447,8446,341867,-74.815546,10.977961,BARRANQUILLA
11,Bogotá D.C.,11001,2020,94724,95007,75163,19653,284547,268386.22063084313,53867.20677895165,1887,27.902371077543933,25.58931152200311,2752.794061310836,1.3984533573000182,98.76282085904711,1651558,787961.2676074479,863596.7323925521,162171,111725,6938,39067,3952,14666,6996,345515,-74.106992,4.649251,"BOGOTÁ, D.C."
13,Bolívar,13001,2020,28689,118979,29654,9210,186532,177813.6846993663,25280.676814052815,3406,35.96006238874011,16.95589746496056,3648.8738718809864,2.9805159051566497,23.120443169673372,1405566,543762.7116354957,861803.2883645043,90267,18957,49986,35225,4315,10380,8260,217390,-75.496269,10.385126,CARTAGENA DE INDIAS
13,Bolívar,13006,2020,17357,56018,58141,2397,133913,135028.1975890227,36265.30312668826,7666,24.998232993166198,21.268350870608607,2448.3783054707555,0.21047298566127515,69.49530420792657,1960606,709282.664166032,1251323.3358339681,99727,142578,49558,40995,18303,19447,3717,374325,-74.557676,8.570107,ACHÍ
15,Boyacá,15001,2020,10825,28919,79163,4192,123099,122421.3502664291,27544.454442201877,3619,41.98614375898018,13.274899402236661,4759.527519609689,5.208101317644633,59.38849150459404,558314,162398.50635133206,395915.49364866794,312386,78894,14245,34317,26426,3698,7355,477321,-73.355539,5.53988,TUNJA
17,Caldas,17001,2020,84935,133265,54005,31402,303607,348570.4493240714,96458.1383234251,5242,20.907332832537953,14.867475661401738,4308.42501036736,5.01851253656496,62.51430821377233,377474,75471.40135835762,302002.59864164237,262008,23900,92975,34820,20844,12630,259,447436,-75.491025,5.057657,MANIZALES
19,Caquetá,19001,2020,30896,90206,69612,20427,211141,222070.92969397793,62176.85249918084,1145,33.942590931745535,26.77729866839858,1407.5556473512738,11.893266847437381,27.203763767309326,1866870,373792.76128287497,1493077.238717125,185290,88926,56231,40990,7565,2275,1273,382550,-76.599377,2.459641,POPAYÁN
20,Cesar,20001,2020,82207,46455,10071,25978,164711,184679.2461893686,36162.08765069486,1387,35.64756273843686,9.503895099583822,2219.159995999271,5.3197302174637615,39.70592379957665,320697,85062.0707800177,235634.9292199823,311111,105103,17568,46369,11067,13271,226,504715,-73.259398,10.460472,VALLEDUPAR
23,Córdoba,23001,2020,16337,134917,47629,38459,237342,284186.63675346563,75988.25434252953,5781,18.907575724182507,13.256376840261128,704.374194606615,8.643091530495028,46.802712305523315,1375640,728939.308285619,646700.691714381,292864,7784,94182,19927,18942,4611,4259,442569,-75.873096,8.759789,MONTERÍA
25,Cundinamarca,25001,2020,10808,113694,38851,1543,164896,157293.7806253687,35770.32138851256,7241,34.661843408062836,24.396832494695985,2614.3241821988063,3.2126465869931407,96.74264781720238,274848,37667.84708321735,237180.15291678265,421833,103770,89885,8027,23902,10332,1464,659213,-74.669221,4.375309,AGUA DE DIOS
27,Chocó,27001,2020,66566,66974,34692,1399,169631,155914.9552783762,34359.28377490272,3115,34.15836533583169,20.040329163849364,1820.827733507415,10.90327456334148,49.65064953242628,256096,40224.11051091282,215871.8894890872,123768,61580,64987,7959,10648,17884,2978,289804,-76.638144,5.682166,QUIBDÓ
27,Chocó,27006,2020,8257,155676,62739,32565,259237,286022.5478557726,65422.3604290018,1396,20.60156447213125,11.372249791638946,4465.8946821891595,1.1686577298798848,61.37835828702297,1107511,122913.58316371911,984597.4168362808,397558,56347,65558,46581,1981,6297,9274,583596,-77.279951,8.512178,ACANDÍ
41,Huila,41001,2020,37771,96158,11158,16043,161130,146033.17020857797,18376.447258009444,979,37.823522939294605,17.072875728114646,3935.0079521398557,7.2112081226383244,76.27036846880299,781466,425346.6624821754,356119.3375178246,200864,37285,10747,40212,4753,16744,8125,318730,-75.277327,2.935432,NEIVA
41,Huila,41006,2020,43573,104066,22123,20683,190445,193061.36583173653,33215.6670385276,2936,30.17670057721933,14.363806770107763,4286.4653432493005,5.25536295400978,38.095608304054394,1579485,427941.14557938767,1151543.8544206123,29475,47870,80013,16616,12964,19932,1040,207910,-75.888706,1.805173,ACEVEDO
44,La Guajira,44001,2020,41829,50105,61566,19056,172556,202811.35092201343,29531.921129694034,4369,30.923493527342494,10.699334573404181,4331.577518368439,2.3204512762812857,60.74999955754983,1665501,247326.74491887965,1418174.2550811204,68009,97452,61957,18219,3304,18685,7071,274697,-72.911795,11.528588,RIOHACHA
47,Magdalena,47001,2020,93672,78427,34427,35677,242203,267020.2766884588,60781.91605521946,7195,36.13170023969149,16.822845753489098,3469.608919266544,5.579837726837669,77.50101732734771,1784813,754667.5251788893,1030145.4748211107,29365,136323,2676,3692,1972,10616,1150,185794,-74.199829,11.204679,SANTA MARTA
50,Meta,50001,2020,84573,80632,31587,28027,224819,231087.93793748453,34898.04610424917,678,38.645764176079105,13.852807274255134,1360.9553899222992,11.38816956627648,56.79348993296918,26287,5917.010569310032,20369.989430689966,67607,130525,12028,15564,18391,19768,4652,268535,-73.622601,4.126369,VILLAVICENCIO
50,Meta,50006,2020,87609,137120,74184,4968,303881,315506.58128261496,42408.79964093902,7322,36.95218509670915,16.075390228454708,3941.332001426881,4.484957364221544,90.71194992928325,646700,377526.3598117729,269173.6401882271,489889,8050,16163,39580,27716,1998,3441,586837,-73.766034,3.990413,ACACÍAS
52,Nariño,52001,2020,18145,94236,65131,26936,204448,239954.24463796287,49422.238770370204,6562,38.695914177268534,8.834153622869344,3415.383606626785,4.530322027057654,40.179676382365884,1513144,501049.9878095463,1012094.0121904537,196120,73367,83662,48196,28865,4318,3685,438213,-77.278795,1.212352,PASTO
